,op_id,op_type,suc,read,write,maca,cv_dsp
147,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0a_1x1/Relu'],125920,3642,14230,387238
148,InceptionV4/InceptionV4/Mixed_6d/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_3/Conv2d_0b_1x1/Relu'],50997,23038,20643,249716
149,InceptionV4/InceptionV4/Mixed_6d/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6d/concat'],133602,5642,19041,19041
150,InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0b_1x7/Relu'],133602,3642,8275,8275
151,InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0b_7x1/Relu'],133602,3642,8275,8275
152,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_3/Conv2d_0b_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_3/Conv2d_0b_1x1/Relu'],0,3094,9632,821606
153,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0b_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0b_1x7/Relu'],0,3983,12112,6532990
154,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0b_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0b_7x1/Relu'],83265,3642,9621,387238
155,InceptionV4/InceptionV4/Mixed_6d/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6d/concat'],133602,3094,7121,7121
156,InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0b_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0c_7x1/Relu'],133602,3983,11707,11707
157,InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0b_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0c_1x7/Relu'],133602,3642,8275,8275
158,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0c_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0c_7x1/Relu'],125920,3983,14084,6532990
159,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0c_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0c_1x7/Relu'],0,3983,12112,6532990
160,InceptionV4/InceptionV4/Mixed_6d/Branch_1/Conv2d_0c_7x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_6d/concat'],133602,3983,13464,13464
161,InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0c_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0d_7x1/Relu'],133602,3983,11707,11707
162,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0d_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0d_7x1/Relu'],0,3983,14052,6532990
163,InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0d_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0e_1x7/Relu'],133602,3983,11707,11707
164,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0e_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_6d/Branch_2/Conv2d_0e_1x7/Relu'],125920,3983,14084,6532990
