,op_id,op_type,suc,maca,cv_dsp
257,InceptionV4/InceptionV4/Mixed_7a/Branch_2/MaxPool_1a_3x3/MaxPool,MaxPool,['InceptionV4/InceptionV4/Mixed_7a/concat'],67959,508548
258,InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu'],145519,145519
259,InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu'],151049,151049
260,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu'],14033,6536084
261,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu'],163159,2323922
262,InceptionV4/InceptionV4/Mixed_7a/Branch_0/Conv2d_1a_3x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7a/concat'],141821,141821
263,InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0b_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu'],151049,151049
264,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu'],95755,2241601
265,InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_0c_7x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu'],156685,156685
266,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu'],178582,748387
267,InceptionV4/InceptionV4/Mixed_7a/Branch_1/Conv2d_1a_3x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7a/concat'],142558,142558
268,InceptionV4/InceptionV4/Mixed_7a/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV4/InceptionV4/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool']",149085,149085
269,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu'],137316,1376516
270,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu'],75403,889324
271,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu'],75403,889324
272,InceptionV4/InceptionV4/Mixed_7b/Branch_3/AvgPool_0a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu'],-1,211893
273,InceptionV4/InceptionV4/Mixed_7b/Branch_0/Conv2d_0a_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/concat'],142089,142089
274,InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0a_1x1/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0c_3x1/Relu']",142806,142806
275,InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0b_3x1/Relu'],142806,142806
276,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu'],137316,1376516
277,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu'],57973,4486966
278,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0c_3x1/Relu'],57973,4486966
279,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0b_3x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0b_3x1/Relu'],158380,973362
280,InceptionV4/InceptionV4/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/concat'],142089,142089
281,InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/Branch_1/concat'],142089,142089
282,InceptionV4/InceptionV4/Mixed_7b/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/Branch_1/concat'],142089,142089
283,InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0b_3x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu'],142981,142981
284,InceptionV4/InceptionV4/Mixed_7b/Branch_1/concat,Concat,['InceptionV4/InceptionV4/Mixed_7b/concat'],141059,141059
285,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu'],18065,824700
286,InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0d_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0e_3x1/Relu']",143314,143314
287,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0d_1x3/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0d_1x3/Relu'],11396,1250596
288,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0e_3x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0e_3x1/Relu'],11396,1250596
289,InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0d_1x3/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/concat'],142089,142089
290,InceptionV4/InceptionV4/Mixed_7b/Branch_2/Conv2d_0e_3x1/Relu,Relu,['InceptionV4/InceptionV4/Mixed_7b/Branch_2/concat'],142089,142089
291,InceptionV4/InceptionV4/Mixed_7b/Branch_2/concat,Concat,['InceptionV4/InceptionV4/Mixed_7b/concat'],141059,141059
292,InceptionV4/InceptionV4/Mixed_7b/concat,Concat,"['TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7c/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu', 'InceptionV4/InceptionV4/Mixed_7c/Branch_3/AvgPool_0a_3x3/AvgPool']",149085,149085
293,TFLITE2ONNX_FAF_InceptionV4/InceptionV4/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu,Conv,['InceptionV4/InceptionV4/Mixed_7c/Branch_0/Conv2d_0a_1x1/Relu'],137316,1376516
