,op_id,op_type,suc,read,write,maca,cv_dsp
422,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/mul'],133602,5642,4852,4852
423,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/Relu'],148662,23038,30151,7031133
424,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/Relu'],64624,23038,-1,79659
425,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_19/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_0/Conv2d_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0a_1x1/Relu', 'TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Relu']",50997,23038,47066,47066
426,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_0/Conv2d_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_0/Conv2d_1x1/Relu'],148662,3642,8398,387238
427,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0a_1x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0a_1x1/Relu'],125920,3094,10426,821606
428,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_0/Conv2d_1x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/concat'],133602,3642,8275,8275
429,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0b_1x7/Relu'],133602,3094,7121,7121
430,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0b_1x7/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0b_1x7/Relu'],113706,3094,30433,821606
431,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0b_1x7/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0c_7x1/Relu'],133602,3094,7935,7935
432,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0c_7x1/Relu,Conv,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0c_7x1/Relu'],113706,3642,8282,387238
433,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Branch_1/Conv2d_0c_7x1/Relu,Relu,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/concat'],133602,3642,8275,8275
434,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/concat,Concat,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/mul'],133602,5642,4852,4852
435,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/mul,Conv,['TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Relu'],148662,23038,30151,7031133
436,TFLITE2ONNX_FAF_InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Relu,Add,['InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Relu'],64624,23038,-1,79659
437,InceptionResnetV2/InceptionResnetV2/Repeat_1/block17_20/Relu,Relu,['InceptionResnetV2/AuxLogits/Conv2d_1a_3x3/AvgPool'],50997,23038,47066,47066
438,InceptionResnetV2/AuxLogits/Conv2d_1a_3x3/AvgPool,AveragePool,['TFLITE2ONNX_FAF_InceptionResnetV2/AuxLogits/Conv2d_1b_1x1/Relu'],50997,3094,20643,243211
439,TFLITE2ONNX_FAF_InceptionResnetV2/AuxLogits/Conv2d_1b_1x1/Relu,Conv,['InceptionResnetV2/AuxLogits/Conv2d_1b_1x1/Relu'],66106,3094,845,1551558
440,InceptionResnetV2/AuxLogits/Conv2d_1b_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionResnetV2/AuxLogits/Conv2d_2a_5x5/Relu'],133602,3094,4227,4227
441,TFLITE2ONNX_FAF_InceptionResnetV2/AuxLogits/Conv2d_2a_5x5/Relu,Conv,['InceptionResnetV2/AuxLogits/Conv2d_2a_5x5/Relu'],171817,3094,8282,387238
442,InceptionResnetV2/AuxLogits/Conv2d_2a_5x5/Relu,Relu,['InceptionResnetV2/AuxLogits/Logits/BiasAdd'],133602,3094,4020,4020
443,InceptionResnetV2/AuxLogits/Logits/BiasAdd,Gemm,[],100,100,100,100
