,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
180,180,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
181,181,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
182,182,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu'],0,3094,17533,6532990,[136696],[136696],[136696],[136696]
183,183,InceptionV3/InceptionV3/Mixed_7b/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/concat'],133602,3094,5125,5125,[136696],[136696],[136696],[136696]
184,184,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
185,185,InceptionV3/InceptionV3/Mixed_7b/Branch_1/Conv2d_0b_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
186,186,InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0b_3x3/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu']",133602,3094,6110,6110,"[129014, 129014]","[129014, 129014]","[129014, 129014]","[129014, 129014]"
187,187,InceptionV3/InceptionV3/Mixed_7b/Branch_1/concat,Concat,['InceptionV3/InceptionV3/Mixed_7b/concat'],133602,3094,5562,5562,[136696],[136696],[136696],[136696]
188,188,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0c_1x3/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
189,189,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7b/Branch_2/Conv2d_0d_3x1/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
