,Unnamed: 0,op_id,op_type,suc,CPU_B,CPU_S,GPU,"['CPU_B', 'CPU_S']","['CPU_S', 'CPU_B']","['CPU_B', 'GPU']","['GPU', 'CPU_B']","['CPU_S', 'GPU']","['GPU', 'CPU_S']",['size']
61,61,62,62,[63],282.085,381.003,481.587,[255.66565036048684],[155.99842534508602],[199.9545910319243],[68.55764008194691],[382.2792225810453],[188.3214486595248],[652288.0]
62,62,63,63,"[64, 65, 66, 67]",109.876,337.502,393.67,"[63.91641259012171, 63.91641259012171, 63.91641259012171, 63.91641259012171]","[38.999606336271505, 38.999606336271505, 38.999606336271505, 38.999606336271505]","[49.98864775798108, 49.98864775798108, 49.98864775798108, 49.98864775798108]","[17.13941002048673, 17.13941002048673, 17.13941002048673, 17.13941002048673]","[95.56980564526133, 95.56980564526133, 95.56980564526133, 95.56980564526133]","[47.0803621648812, 47.0803621648812, 47.0803621648812, 47.0803621648812]","[163072.0, 163072.0, 163072.0, 163072.0]"
63,63,64,64,[71],562.837,1838.138,1623.639,[19.666588489268218],[11.999878872698925],[15.381122387071102],[5.273664621688225],[29.406094044695795],[14.486265281501908],[50176.0]
64,64,65,65,[69],412.42,1127.716,2024.183,[12.291617805792637],[7.499924295436827],[9.613201491919439],[3.2960403885551397],[18.37880877793487],[9.053915800938693],[31360.0]
65,65,66,66,[70],155.543,405.586,555.838,[2.4583235611585272],[1.4999848590873657],[1.9226402983838877],[0.6592080777110281],[3.6757617555869744],[1.8107831601877384],[6272.0]
66,66,67,67,[68],48.75,240.376,386.17,[63.91641259012171],[38.999606336271505],[49.98864775798108],[17.13941002048673],[95.56980564526133],[47.0803621648812],[163072.0]
67,67,68,68,[71],312.419,936.173,1962.6410000000003,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
68,68,69,69,[71],1085.3010000000002,2459.6420000000003,3043.316,[24.583235611585273],[14.999848590873654],[19.226402983838877],[6.592080777110279],[36.75761755586974],[18.107831601877386],[62720.0]
69,69,70,70,[71],183.002,472.212,1540.262,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
70,70,71,71,"[72, 73, 74, 75]",96.417,184.459,364.295,"[63.91641259012171, 63.91641259012171, 63.91641259012171, 63.91641259012171]","[38.999606336271505, 38.999606336271505, 38.999606336271505, 38.999606336271505]","[49.98864775798108, 49.98864775798108, 49.98864775798108, 49.98864775798108]","[17.13941002048673, 17.13941002048673, 17.13941002048673, 17.13941002048673]","[95.56980564526133, 95.56980564526133, 95.56980564526133, 95.56980564526133]","[47.0803621648812, 47.0803621648812, 47.0803621648812, 47.0803621648812]","[163072.0, 163072.0, 163072.0, 163072.0]"
71,71,72,72,[79],796.089,2402.058,2195.393,[29.49988273390233],[17.999818309048386],[23.071683580606653],[7.910496932532336],[44.109141067043694],[21.729397922252865],[75264.0]
72,72,73,73,[77],428.253,1262.259,1214.51,[14.749941366951164],[8.999909154524193],[11.535841790303326],[3.955248466266168],[22.054570533521847],[10.864698961126432],[37632.0]
73,73,74,74,[78],189.21,473.795,603.5889999999999,[3.687485341737791],[2.2499772886310483],[2.8839604475758316],[0.988812116566542],[5.513642633380462],[2.716174740281608],[9408.0]
74,74,75,75,[76],51.417,247.835,383.712,[63.91641259012171],[38.999606336271505],[49.98864775798108],[17.13941002048673],[95.56980564526133],[47.0803621648812],[163072.0]
75,75,76,76,[79],302.16900000000004,930.215,1147.968,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
76,76,77,77,[79],1525.804,3427.982,2681.188,[29.49988273390233],[17.999818309048386],[23.071683580606653],[7.910496932532336],[44.109141067043694],[21.729397922252865],[75264.0]
77,77,78,78,[79],227.627,625.9209999999999,932.133,[9.833294244634109],[5.999939436349463],[7.690561193535551],[2.6368323108441123],[14.703047022347898],[7.243132640750954],[25088.0]
78,78,79,79,[80],89.33399999999999,228.21,375.878,[78.66635395707287],[47.9995154907957],[61.52448954828441],[21.0946584867529],[117.62437617878318],[57.94506112600763],[200704.0]
79,79,80,80,[81],30.667,268.127,328.66900000000004,[1.6054357950423035],[0.979581948791749],[1.2556018275160084],[0.43050323442352845],[2.4004974730363915],[1.1825522678777067],[4096.0]
80,80,81,81,[82],532.046,903.59,1201.302,[1.5693762019895956],[0.9575796198638094],[1.2273998333432854],[0.42083372818159376],[2.3465800493256133],[1.1559910352984224],[4004.0]
81,81,82,82,[83],61.751,129.501,297.461,[1.5693762019895956],[0.9575796198638094],[1.2273998333432854],[0.42083372818159376],[2.3465800493256133],[1.1559910352984224],[4004.0]
82,82,83,83,[],27.75,45.958000000000006,695.173,[],[],[],[],[],[],[]
