,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
75,75,75,[76],753.299,1038.049,689.37234,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
76,76,76,"[77, 78, 79, 85]",449.962,970.05,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
77,77,77,[83],769.2149999999999,2169.351,963.55874,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
78,78,78,[80],722.381,2185.3509999999997,926.6768000000001,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
79,79,79,[81],721.9639999999999,2262.5589999999997,847.19946,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
80,80,80,[83],580.88,1682.597,762.2746,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
81,81,81,[82],686.59,2428.061,905.11828,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
82,82,82,[83],1205.011,3656.404,1053.2169999999999,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
83,83,83,[84],305.67,351.795,356.77044,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
84,84,84,[85],2967.6099999999997,6526.302000000001,2808.1906,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
85,85,85,[86],719.006,1449.428,670.3513399999999,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
86,86,86,"[87, 88, 89, 95]",431.712,605.255,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
87,87,87,[93],820.216,2069.475,913.4791799999999,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
88,88,88,[90],720.631,2108.058,882.81894,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
89,89,89,[91],734.34,2150.517,873.8405200000001,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
90,90,90,[93],537.713,2150.351,625.89516,[156800.0],[0],[61.45808902896318],[68.75202329073176],[37.499621477184135],[0],[112.58005972080893],[37.16621777391026],[65.95559483582802],[0]
91,91,91,[92],696.6719999999999,2363.268,857.3803800000001,[235200.0],[0],[92.18713354344477],[103.12803493609763],[56.24943221577621],[0],[168.8700895812134],[55.74932666086539],[98.93339225374204],[0]
92,92,92,[93],1270.8439999999998,3641.237,1053.30534,[313600.0],[0],[122.91617805792636],[137.5040465814635],[74.99924295436827],[132.5779970782038],[225.16011944161787],[74.33243554782052],[131.91118967165605],[82.74406332453826]
93,93,93,[94],304.294,357.253,348.75704,[627200.0],[0],[245.83235611585272],[275.008093162927],[149.99848590873654],[265.1559941564076],[450.32023888323573],[148.66487109564105],[263.8223793433121],[165.48812664907652]
94,94,94,[95],2841.776,7089.515,2843.4467,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
95,95,95,[96],806.59,1074.384,675.29638,[1568000.0],[326.6871196704542],[614.5808902896317],[687.5202329073176],[374.99621477184144],[662.8899853910191],[1125.8005972080891],[371.6621777391027],[659.5559483582803],[413.7203166226913]
96,96,96,"[97, 98, 99, 105]",471.629,594.005,0.0,"[1568000.0, 1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913, 413.7203166226913]"
